title,upload_time,uploader,view_count
Sen. Joe Biden on Shalom TV,2007-04-04T21:47:31Z,UCytSoHh3dD8T9_bKrEFdZUg,121843
Barack Obama: His Story,2012-05-04T21:10:12Z,UCE2qnvTkp3-2lkoQqXZK1UQ, 
Class Act,2013-10-12T20:05:35Z,UCxb8c7i05IQFixOq_h4bE1Q, 
Joe Rogan: Rocky Mountain High,2014-11-04T01:17:22Z,UClZ5Usl-QulPjv-cgAO3QeQ, 
The 11th Hour,2015-05-01T20:33:27Z,UCr8qH9WclPwSy86S-eYNE5g, 
Ready,2015-11-09T22:50:48Z,UCqqUPU-qLCap5eVqGYmhEew, 
Uncivil War: Battle for America,2017-06-28T01:37:37Z,UC9w6t2bdmrmV295l2nA2Uug, 
Blood Child,2018-09-13T08:40:59Z,UCFAnqTOB9fD60OL6lJMwIzw, 
Frank Biden of The Berman Law Group,2019-02-14T18:23:42Z,UCMi2e7xuQH2nRigNY2lEwqA,28921
Kamala Harris attacks Joe Biden&#39;s record on race in Democratic debate,2019-06-28T07:54:22Z,UCIRYBXDze5krPDzAEOxFGVA,1035041
"MSNBC’s Kornacki: Biden “In Particular Trouble” In New Poll, “The Floor Pretty Much Falling Out”",2019-08-26T18:48:18Z,UCvQ2kejN6UkrEVhE5oiYwBw,7294
Joe Biden bragging and acknowledging quid pro quo corruption including his son and Ukraine,2019-09-25T06:43:11Z,UCA-WW5lh7U96NGw6v9MJ7HA,42464
Joe Biden speaking in an arena in Iowa gets confused where the camera is and keeps talking to a scre,2019-11-02T15:55:11Z,UCwZaqHfNdI1VAs4Ixjt6AeQ,13398
MSNBC’s O&#39;Donnell: Biden Gaffe Is A “Gaffe Unlike Any Other I’ve Seen In A Debate Performance”,2019-11-21T04:52:36Z,UCvQ2kejN6UkrEVhE5oiYwBw,3827
Joe Biden Lashes Out At Voter After He Calls Biden Out On Ukraine: “You’re A Damn Liar&quot;,2019-12-05T18:25:47Z,UCvQ2kejN6UkrEVhE5oiYwBw,21725
Joe Biden: “We Don’t Need Standing Armies”,2020-01-22T02:32:53Z,UCvQ2kejN6UkrEVhE5oiYwBw,7941
CNN’s King: Joe Biden’s Bad Iowa Results A Disappointment For Him,2020-02-04T22:45:57Z,UCvQ2kejN6UkrEVhE5oiYwBw,2663
ABC NEWS SPECIAL REPORT: Pres.-elect Biden and VP-elect Harris deliver remarks on economy,2020-02-12T00:32:37Z,UCBi2mrWuNuyYy4gbM6fU18Q,129276181
"Biden’s Resurgence, Obama’s Quiet Hand and the Impact of Coronavirus on Europe",2020-03-11T13:14:49Z,UCB7z0vqLeb9fxfxQBqwUK7g,2087
ABC News Report On Biden the Liar,2020-03-17T04:07:07Z,UCvlvVrxlIh6JbuAVhL46clQ,9042
"Biden, Trump Wrong About WHO Coronavirus Tests – FactCheck.org",2020-03-24T20:13:05Z,UCc_VNUgjPdpaQdoHRVcCRYQ,586
