title,upload_time,uploader,view_count
Dumb and Dumber To,2014-11-14T05:00:12Z,UCdAlZwNRHALSg1wN4e930Pg, 
REMUTE - TRUMP (Presidential Announcement 2016 RMX),2015-06-18T18:05:29Z,UCeZdrMHUXQ4h7Mchhet_HhQ,32918
"For one moment, Trump is voice of reason - calls out broken campaign finance system",2015-08-07T20:11:26Z,UC7yoXZ7c8ZZAimgcqHBtHoQ,5938
Donald Trump Says &quot;China&quot;,2015-08-28T17:25:10Z,UCAViYB6s7EUlakHsLrLq0Fg,19179964
Trump&#39;s Biggest Deceptions of 2015,2015-12-11T19:54:06Z,UCc_VNUgjPdpaQdoHRVcCRYQ,21019
Donald Trump Beach House - St Martin F.W.I,2016-01-23T23:53:40Z,UCaJ6ddyVIFlJKXeYPiFcI-A,61427
Donald Trump: Last Week Tonight with John Oliver (HBO),2016-02-29T07:30:30Z,UC3XTzVzaHQEd30rQbuvCtTQ,38384002
Donald Trump: Last Week Tonight with John Oliver (HBO),2016-02-29T07:30:30Z,UC3XTzVzaHQEd30rQbuvCtTQ,38384002
Is Trump&#39;s Wall Possible?,2016-03-08T03:10:41Z,UCrmm_7RDZJeQzq2-wvmjueg,796085
What Would Jello Do? Part 47: Donald Trump 2.0,2016-03-12T00:53:26Z,UCmTv8liAqN9St2MhEntGMlg,39604
Anti-Trump Ad - Women reading Donald Trump comments about women [without],2016-03-16T20:19:05Z,UC3JuFWvQ8FynpxnpxBM0Y8A,30652
Donald Trump: The Apprentice President?,2016-05-18T00:17:01Z,UCkJ7FKLu_bXvlScvsELNmzg, 
1 Nation Under Trump,2016-08-05T20:05:42Z,UCxRBhIr01unRhgzrbNxiR7Q, 
ERIC TRUMP @ Tommy Gun Warehouse Grand Opening Clips,2016-08-31T02:55:30Z,UCktnzPxCgr3klkUnV_moWgg,5502
Robert Lund and Spaff.com - The Donald Trump Club March,2016-09-19T14:00:00Z,UCKtwCTCz6tekPfJJCWDMcrQ,2714
Clinton compares her 30 years of experience to Trump&#39;s,2016-10-20T02:08:01Z,UC1Z1i5ClfrJhyu9z1hlmDkQ,19202
Donald Trump says Chicago has toughest gun laws in U.S.,2016-11-03T17:22:47Z,UCFZj-isFkwf6prUoNBc5lbQ,1752
Donald Trump impression - Australian Radio Show,2016-11-20T02:12:06Z,UCmes--YuVn9v7evCVD1AmHA,6317
Barack Obama Wishes Donald Trump a MERRY CHRISTMAS (Star Wars Style),2016-12-23T22:38:45Z,UCuopo2qMo061YXWZLq3XPyA,29425
Beldon Haigh - Freedom: A Trump Protest Song,2017-01-16T16:25:43Z,UC_496VQBh6sGNVRQlewzRAw,8621
MSNBC&#39;s Matthews Says Trump&#39;s Speech &quot;Hitlerian&quot;,2017-01-20T18:15:51Z,UCaNH6cO_R3Kd1V1eZQN2oQA,89483
Atomica,2017-03-21T04:00:19Z,UCpkeL36MfeLIICkWYtlkbVA, 
Trump Organization Eyes Valencia Lot For Santa Clarita Hotel - KHTS News - Santa Clarita,2017-04-01T07:06:48Z,UCZyV4c3Avpc7iRBN8w1Sskg,3406
Raja Salman Tegur Donald Trump agar minum dengan tangan kanan,2017-05-22T03:00:15Z,UClzbXPbMTJTlmQtBZ7wRqzw,965447
A Helluva Ride: The Trump Revolution Begins...,2017-05-29T12:00:37Z,UCb_c58RohC6LxJVyIV_j6MA, 
Trump: What&#39;s the Deal?,2017-08-09T18:22:16Z,UCQBDPhMhqNHkN3sA3N37Z4Q, 
B.B. King - Standing Room Only,2017-08-13T03:12:54Z,UCr9hdaIwG9rnMoe5XSkgzIg, 
Trump Sonata - part 3 (out of 6) / by Avner Hanani,2017-08-16T17:15:09Z,UCFEqZYcR8e1tv0wDrJvZAhw,13462
Trump Sonata - part 3 (out of 6) / by Avner Hanani,2017-08-16T17:15:09Z,UCFEqZYcR8e1tv0wDrJvZAhw,13462
How Trump made millions licensing his name to a development used to launder drug money,2017-11-17T12:01:12Z,UCSoMMiD6gXglPRrOfLJUQJw,9513
How Trump made millions licensing his name to a development used to launder drug money,2017-11-17T12:01:12Z,UCSoMMiD6gXglPRrOfLJUQJw,9513
Trump&#39;s &#39;Criminal&#39; Jerusalem Move Could Backfire,2017-12-06T23:47:28Z,UCrmm_7RDZJeQzq2-wvmjueg,27640
